provinces&cities,district,hospital name,phone number
서울,강남구,강남구보건소	,02-3423-5555
부산,부산진구,인제대학교부산백병원	,051-890-8933
부산,부산진구,부산진구보건소	,051-645-4000
부산,부산진구,부산진구보건소	,051-607-0139
부산,부산진구,부산진구보건소	,051-850-8777
부산,부산진구,부산진구보건소	,051-608-0119
부산,북구,북구보건소	,051-309-4500
부산,북구,의료법인 인당의료재단 부민병원	,051-330-3000
부산,북구,의료법인 인당의료재단 부민병원	,051-330-2001
부산,사상구,사상구보건소	,051-310-4791
부산,사상구,좋은삼선병원	,051-322-0900
부산,사하구,사하구보건소	,051-220-5701
부산,서구,서구 보건소	,051-242-4000
부산,서구,동아대학교병원	,051-240-2400
부산,서구,고신대학교복음병원	,051-990-3233
부산,서구,삼육부산병원	,051-600-7575
부산,수영구,좋은강안병원	,051-625-0900
부산,수영구,비에이치에스한서병원	,051-756-0081
부산,수영구,수영구보건소	,051-752-4000
부산,연제구,연제구보건소	,051-665-4781
부산,영도구,영도구보건소	,051-419-4931
부산,영도구,영도병원	,051-419-7881
부산,영도구,해동병원	,051-410-6682
부산,중구,중구 보건소	,051-600-4741
부산,중구,메리놀병원	,"(주간) 051- 461-2348, (야간) 051- 461-2300"
부산,해운대구,해운대구보건소	,051-746-4000
부산,해운대구,해운대부민병원	,051-602-8000
부산,해운대구,인제대학교해운대백병원	,051-797-0119
대구,남구,영남대학교병원	,"053-623-8001, 053-620-3332"
대구,남구,대구 가톨릭대학교병원	,053-650-3000
대구,남구,남구보건소	,"053-664-3644, 053-664-3582"
대구,남구,굿모닝병원	,053-620-9100
대구,남구,드림병원	,053-640-8800
대구,달서구,달서구보건소	,"053-667-5754, 053-667-3123"
대구,달서구,계명대학교 동산병원	,053-258-6879
대구,달서구,보광병원	,053-651-3232
대구,달서구,의료법인구의료재단 구병원	,053-560-9114
대구,달서구,삼일병원	,053-659-3100
대구,달서구,더블유병원	,053-550-5003 
대구,달서구,세강병원	,053-215-6200
대구,달성군,달성군보건소	,"053-668-3121, 053-668-3114"
대구,동구,대구파티마병원	,"1688-7770, 053-940-7098"
대구,동구,동구보건소	,"053-662-3225, 053-662-3274"
대구,북구,칠곡경북대학교병원	,053-200-2000
대구,북구,북구보건소	,"053-665-2756, 053-665-2760"
대구,북구,대구가톨릭대학교 칠곡가톨릭병원	,053-320-2186
대구,서구,서구보건소	,"053-663-3176, 053-663-3178"
대구,수성구,수성구보건소	,"053-666-3264, 053-666-3266"
대구,중구,중구보건소	,"053-661-3804, 053-661-3826"
인천,강화군,강화군보건소	,032-930-4081
인천,강화군,비에스종합병원	,032-290-0001
인천,계양구,한림병원	,032-540-9114
인천,계양구,메디플렉스 세종병원	,032-240-8000
인천,계양구,계양구보건소	,032-430-7821
인천,남동구,남동구보건소	,032-466-3808
인천,동구,의료법인성수의료재단인천백병원	,032-765-7070
인천,동구,동구보건소	,032-770-5700
인천,미추홀구,현대유비스 병원	,032-890-5509
인천,미추홀구,미추홀구보건소	,032-880-5311
인천,미추홀구,인천사랑병원	,032-457-2000
인천,부평구,가톨릭대학교 인천성모병원	,1544-9004
인천,부평구,부평세림병원	,032-524-0591
인천,부평구,근로복지공단 인천병원	,032-500-0114
인천,부평구,부평구보건소	,032-509-8200
인천,서구,국제성모병원	,1600-8291
인천,서구,나은병원	,032-584-0114
인천,서구,성민병원	,032-726-1119
인천,서구,검단탑병원	,032-590-0114
인천,서구,온누리병원	,032-568-9111
인천,서구,서구보건소	,032-560-5000
인천,연수구,나사렛 국제병원	,032-899-9999
인천,연수구,연수구보건소	,032-749-8000
인천,연수구,인천적십자병원	,032-899-4287
인천,옹진군,옹진군보건소	,032-899-3120
인천,옹진군,백령병원	,032-836-1731
인천,중구,인천기독병원	,032-270-8000
인천,중구,중구보건소	,032-760-6050
인천,중구,중구보건소 용유지소	,032-760-8991
인천,중구,영종보건지소	,032-760-6800
광주,광산구,광산구보건소	,062-960-8859
광주,광산구,첨단종합병원	,"주 062-601-8771, 야 062-601-8119"
광주,광산구,KS병원	,062-975-9119
광주,남구,광주기독병원	,062-650-5119
광주,남구,남구보건소	,062-607-4450
광주,동구,동구보건소	,062-608-3312
광주,북구,동구보건소	,062-608-7119
광주,북구,북구보건소	,062-410-8961
광주,서구,서광병원	,"062-600-8119, 8161"
광주,서구,서구보건소	,062-350-4158
대전,대덕구,대덕구보건소	,042-608-5436~40
대전,대덕구,대전보훈병원	,"042-939-0118, 0100"
대전,대덕구,근로복지공단 대전병원	,"(주간) 042-670-5406, (야간) 042-670-5119"
대전,동구,동구보건소	,042-251-6305
대전,동구,대전한국병원	,042-606-1500
대전,서구,서구보건소	,042-288-4500
대전,서구,건양대학교병원	,042-600-9999
대전,서구,을지대학교병원	,042-259-1060
대전,유성구,유성구보건소	,042-611-5047
대전,유성구,유성선병원	,042-609-1000
대전,중구,중구보건소	,042-288-8043
대전,중구,대전선병원	,042-220-8114
대전,중구,대전성모병원	,042-220-9114
울산,남구,울산병원	,052-259-5000
울산,남구,좋은삼정병원	,052-220-7500
울산,남구,의)정안의료재단 중앙병원	,052-226-1100
울산,남구,남구보건소	,052-226-2805
울산,동구,동구보건소	,052-209-4080
울산,북구,울산시티병원	,052-280-9000
울산,북구,북구보건소	,052-289-3450
울산,울주군,서울산보람병원	,052-255-7114
울산,울주군,울주군보건소	,052-265-9095
울산,울주군,남부통합보건지소	,052-204-2818
울산,중구,동강병원	,052-241-1114
울산,중구,중구보건소	,052-290-4300
세종,,세종특별자치시보건소	,044-301-2841~5
세종,,세종특별자치시보건소(충남대학교병원세종의원)	,044-301-2841~5
경기,가평군,가평군보건소	,031-582-2488
경기,가평군,HJ매그놀리아국제병원	,031-589-4300
경기,고양시,덕양구 보건소	,031-8075-4059
경기,고양시,일산동구보건소	,031-8075-4135
경기,고양시,인제대학교 일산백병원	,031-910-7297
경기,고양시,동국대학교일산불교병원	,031-961-8010
경기,고양시,국민건강보험공단 일산병원	,031-900-0114
경기,고양시,일산복음병원	,031-929-0422
경기,과천시,과천시보건소	,02-2150-3832
경기,광명시,과천시보건소	,02-2680-7115
경기,광명시,광명시보건소	,02-2680-2577 
경기,광주시,광주시보건소	,031-760-2359
경기,광주시,광주시보건소	,031-881-9285
경기,구리시,구리시보건소	,031-550-8618
경기,구리시,한양대학교구리병원	,1644-9118
경기,군포시,효신의료재단 지샘병원	,031-389-3000
경기,군포시,원광대학교 산본병원	,031-390-2300
경기,군포시,군포시보건소	,031-461-5464
경기,김포시,김포우리병원	,031-999-1000
경기,김포시,뉴고려병원	,031-998-8129
경기,김포시,김포시보건소	,031-5186-4051
경기,남양주시,남양주보건소	,031-590-0960
경기,남양주시,남양주풍양보건소	,031-590-6956
경기,남양주시,남양주한양병원	,"031-510-0114, 031-510-0119"
경기,남양주시,현대병원	,031-574-9118
경기,동두천시,동두천보건소	,031-860-3395
경기,부천시,부천시보건소	,032-625-4125
경기,부천시,부천시보건소	,032-625-8881
경기,부천시,부천시보건소	,032-625-8881~4
경기,부천시,순천향대학교 부천병원	,032-621-5114
경기,부천시,가톨릭대학교부천성모병원	,032-340-2402
경기,부천시,부천세종병원	,"(주간) 032-340-1897, (야간) 032-340-1119"
경기,성남시 분당구,성남시분당구보건소	,031-729-4004
경기,성남시 중원구,중원구보건소	,031-729-3895
경기,성남시 분당구,분당차병원 	,031-780-5546
경기,성남시 수정구,수정구보건소	,031-729-3870
경기,성남시 수정구,성남시의료원	,031-738-7000
경기,성남시 수정구,순천의료재단정병원	,031-750-6000
경기,성남시 중원구,성남중앙병원	,031-799-5366
경기,수원시 권선구,권선구보건소	,031-228-6716
경기,수원시 영통구,영통구보건소	,031-228-8808
경기,수원시 장안구,장안구보건소	,031-228-5715
경기,수원시 팔달구,팔달구보건소	,031-228-7716
경기,수원시 영통구,아주대학교병원	,031-219-5114
경기,수원시 장안구,경기도의료원 수원병원	,"031-888-0119, 031-888-0129"
경기,수원시 팔달구,성빈센트병원	,1577-8588
경기,수원시 팔달구,동수원병원	,031-210-0114
경기,시흥시,석경의료재단 센트럴병원	,031-8041-3530
경기,시흥시,신천연합병원 	,031-310-6300
경기,시흥시,시흥시화병원	,031-432-2600
경기,시흥시,시흥시보건소	,031-310-5813
경기,시흥시,시흥시 정왕보건지소	,031-310-5907
경기,안산시 단원구,단원보건소	,031-481-6363
경기,안산시 상록구,안산시상록수보건소	,031-481-5894
경기,안산시 단원구,고대안산병원	,031-412-5400
경기,안산시 단원구,한도병원	,031-8040-1369
경기,안산시 상록구,근로복지공단안산병원	,031-500-1114
경기,안성시,경기도의료원 안성병원	,031-8046-5000
경기,안성시,안성성모병원	,031-675-6007
경기,안성시,안성시보건소	,031-678-5710
경기,안양시 동안구,동안구보건소	,031-8045-4472
경기,안양시 만안구,만안구보건소	,031-8045-3472
경기,안양시 동안구,한림대학교 성심병원	,031-380-1500
경기,안양시 만안구,안양샘병원	,031-467-9119
경기,양주시,양주시보건소	,"031-8082-7094, 031-8082-7120, 031-8082-7130, 031-8082-7144"
경기,양평군,양평군보건소	,031-770-3490
경기,양평군,양평병원	,031-770-5119
경기,여주시,양평병원	,031-880-7700
경기,여주시,여주시보건소	,031-887-3601
경기,여주시,여주시보건소	,031-885-7582
경기,연천군,연천군 보건의료원	,031-839-4064
경기,오산시,오산시보건소	,031-8036-6025
경기,오산시,오산한국병원	,031-379-8300
경기,용인시,기흥구보건소	,031-324-6975
경기,용인시,수지구보건소	,"031-324-8451, 8452, 8453"
경기,용인시,강남병원	,031-300-0380/0589
경기,용인시,처인구보건소	,031-324-2114
경기,용인시,영문의료재단 다보스병원	,031-8021-2000
경기,용인시,용인세브란스병원	,031-5189-9010
경기,용인시,용인서울병원	,031-322-0001
경기,의왕시,의왕시보건소	,031-345-3572
경기,의왕시,아가페의료재단 시티병원	,031-340-2555
경기,의정부시,경기도의료원의정부병원 (응급실)	,031-828-5143
경기,의정부시,경기도의료원의정부병원 (응급실)	,031-870-6011~4
경기,의정부시,가톨릭대학교 의정부성모병원	,1661-7500
경기,의정부시,추병원	,031-823-8063
경기,의정부시,의정부백병원	,031-842-1211
경기,이천시,경기도의료원 이천병원	,031-630-4200
경기,이천시,이천시보건소	,031-635-2400
경기,파주시,파주시보건소	,031-940-4800
경기,파주시,경기도의료원 파주병원	,031-940-9100
경기,파주시,메디인병원	,031-943-1191
경기,평택시,의료법인 백송의료재단 굿모닝병원	,031-5182-7700
경기,평택시,의료법인 박애의료재단 박애병원	,031-652-2121
경기,평택시,의료법인 양진의료재단 평택성모병원	,1800-8800
경기,평택시,평택보건소	,031-8024-5559
경기,평택시,평택시 안중보건지소	,031-8024-8618
경기,평택시,박병원	,031-666-2600
경기,평택시,송탄보건소	,031-8024-7236
경기,포천시,포천시보건소	,031-538-3600
경기,포천시,경기도의료원 포천병원	,031-539-9114
경기,포천시,소흘보건지소	,031-538-4486
경기,포천시,일동보건지소	,031-538-4488
경기,하남시,하남시보건소	,031-790-6555
경기,화성시,화성중앙종합병원	,031-371-8080
경기,화성시,화성시보건소	,031-5189-1200
경기,화성시,화성시보건소 동탄보건지소	,031-5189-1200
경기,화성시,동탄성심병원	,1522-2500
경기,화성시,원광종합병원	,031-8077-7219
경기,화성시,남양디에스병원	,031-5180-7777
강원,강릉시,강릉아산병원	,033-610-4111
강원,강릉시,강릉동인병원	,033-651-6161
강원,강릉시,강릉동인병원	,033-649-0333
강원,강릉시,강릉시보건소	,033-660-3050
강원,고성군,고성군보건소	,033-681-4000
강원,동해시,동해시보건소	,033-530-2402
강원,동해시,동해동인병원	,033-530-0119
강원,동해시,근로복지공단 동해병원	,033-530-3119
강원,삼척시,삼척의료원	,"(주간) 033-570-7545, (야간) 033-570-7431"
강원,삼척시,삼척시보건소	,033-570-4649
강원,속초시,속초시보건소	,033-639-2924
강원,속초시,강원도속초의료원	,"(주간) 033-630-6190, (야간) 033-630-6122"
강원,속초시,속초보광병원	,"(주간) 033-639-8557, (야간) 033-639-8988"
강원,양구군,양구군보건소	,"(주간) 033-480-2791, (야간) 033-480-2550"
강원,양구군,의료법인 성심의료재단 양구성심병원	,033-480-8800
강원,양양군,양양군보건소	,"(주간) 033-670-2119, (야간) 033-670-2880"
강원,영월군,강원도영월의료원	,033-370-9129
강원,영월군,영월군보건소	,033-370-2448
강원,원주시,연세대학교 원주세브란스기독병원	,033-741-1641
강원,원주시,원주시보건소	,"(주간) 033-737-4007, (야간) 033-737-4065"
강원,원주시,강원도원주의료원	,033-760-4701~2
강원,인제군,인제군보건소	,"(주간) 033-460-2516, (야간) 033-461-2425"
강원,정선군,근로복지공단정선병원	,033-560-7110
강원,정선군,정선군보건소	,033-560-2739
강원,철원군,철원군보건소	,"033-450-5550, 5468"
강원,철원군,철원군보건소	,033-450-3321
강원,춘천시,한림대학교 춘천성심병원	,"(주간) 033-240-5815, (야간) 033-240-5219"
강원,춘천시,춘천시보건소	,"033-250-4688, 033-250-4597"
강원,태백시,태백시보건소	,"(주간) 033-550-2718, (야간) 033-552-4000"
강원,태백시,근로복지공단 태백병원	,"(주간) 033-581-6390, (야간) 033-580-3119"
강원,평창군,평창군보건의료원	,"(주간) 033-330-4877, (야간) 033-330-4800"
강원,홍천군,홍천아산병원	,033-430-5119
강원,홍천군,홍천군보건소	,033-430-4024
강원,화천군,화천군보건의료원	,033-442-4424
강원,횡성군,횡성대성병원	,033-343-0901
강원,횡성군,횡성군보건소	,033-340-5707
충북,괴산군,괴산군보건소	,043-832-4000
충북,괴산군,괴산성모병원	,043-830-5400
충북,단양군,단양군보건소	,043-420-3263
충북,단양군,단양군립노인요양병원	,043-423-8844
충북,보은군,(의료법인)정민의료재단 보은한양병원	,043-544-1500
충북,보은군,보은군보건소	,043-540-5601
충북,영동군,영동병원	,043-740-9000
충북,영동군,영동군보건소	,043-740-5612
충북,옥천군,옥천성모병원	,043-730-7000
충북,옥천군,옥천군보건소	,043-730-2114
충북,음성군,음성군보건소	,043-872-2136
충북,음성군,금왕태성병원	,043-883-8800
충북,제천시,제천 서울병원	,043-642-7609
충북,제천시,제천시보건소	,043-646-2720
충북,제천시,명지병원(제천)	,043-640-8373
충북,증평군,증평군보건소	,043-835-4220
충북,진천군,진천성모병원	,043-533-1711
충북,진천군,진천군보건소	,043-539-7333
충북,청주시,상당보건소	,043-201-3143
충북,청주시,의료법인 인화재단한국병원	,043-222-7000
충북,청주시,의료법인정산의료재단효성병원	,043-221-5000
충북,청주시,서원보건소	,043-201-3207
충북,청주시,충청북도 청주의료원	,043-279-2300
충북,청주시,청주성모병원	,043-219-8000
충북,청주시,청원보건소	,043-201-3442
충북,청주시,흥덕보건소	,043-201-3342
충북,청주시,한마음의료재단 하나병원	,043-230-6326
충북,청주시,베스티안병원	,043-910-7575
충북,충주시,충주시보건소	,043-850-3431 
충북,충주시,충청북도 충주의료원	,043-871-0114
충북,충주시,건국대학교 충주병원	,043-840-8200
충남,계룡시,계룡시보건소	,042-840-3507
충남,공주시,충청남도공주의료원	,041-962-1111
충남,공주시,공주시 보건소	,041-840-2524
충남,금산군,새금산병원	,041-754-8272
충남,금산군,금산군보건소	,041-750-4311
충남,논산시,백제종합병원	,041-733-2191
충남,논산시,논산시보건소	,041-730-4086~7
충남,당진시,당진종합병원	,041-357-0100
충남,당진시,당진시보건소	,041-360-6003
충남,보령시,보령시보건소	,041-930-0900
충남,보령시,보령아산병원	,041-930-5333
충남,부여군,건양대학교 부여병원	,041-837-1200
충남,부여군,부여군보건소	,041-830-8600
충남,부여군,성요셉연합의원	,041-835-7582
충남,서산시,충청남도서산의료원	,041-689-7000
충남,서산시,서산시보건소	,041-661-8232
충남,서천군,서해병원	,041-951-8282
충남,서천군,서천군보건소	,041-950-6750
충남,아산시,아산충무병원	,041-536-6666
충남,아산시,아산시보건소	,041-537-3311
충남,아산시,현대병원	,041-546-3636
충남,예산군,의료법인 예당의료재단 예산종합병원	,041-330-4000
충남,예산군,예산군보건소	,041-339-6062
충남,천안시,천안시 동남구보건소	,041-521-2651
충남,천안시,학교법인동은학원 순천향대학교 부속천안병원	,1577-7523
충남,천안시,의료법인영서의료재단 천안충무병원	,041-570-7555
충남,천안시,충청남도천안의료원(소아청소년과 없음)	,041-570-7033
충남,천안시,천안우리병원	,041-590-9000
충남,청양군,청양군보건의료원	,041-942-3401
충남,태안군,태안군보건의료원	,041-671-5315
충남,홍성군,충청남도 홍성의료원	,041-630-6114
충남,홍성군,홍성군보건소	,041-632-2588
전북,고창군,고창군보건소	,063-560-8711
전북,고창군,(의)석천재단고창병원	,063-560-5600
전북,군산시,군산시보건소	,063-460-3200
전북,군산시,군산의료원	,063-472-5000
전북,군산시,동군산병원	,063-440-0516
전북,김제시,김제시보건소	,063-540-1300
전북,남원시,남원의료원	,063-620-1114
전북,남원시,남원시보건소	,063-625-4000
전북,무주군,무주군보건의료원	,063-320-8314
전북,부안군,부안군보건소	,063-584-1261
전북,부안군,부안성모병원	,063-581-5100
전북,순창군,순창군보건의료원	,063-650-5352
전북,완주군,완주군보건소	,063-290-3133
전북,익산시,익산병원	,063-840-9112
전북,익산시,익산시보건소	,063-859-4811
전북,임실군,임실군보건의료원	,063-640-3119
전북,장수군,장수군보건의료원	,063-350-2119
전북,전주시,예수병원	,063-230-8282
전북,전주시,대자인병원	,063-250-8703
전북,전주시,전주병원	,063-220-7280
전북,전주시,전주시보건소(덕진진료실)	,063-250-3907
전북,전주시,호성전주병원	,063-240-8894
전북,정읍시,정읍아산병원	,063-530-6000
전북,정읍시,정읍시보건소	,063-539-6112
전북,진안군,진안군보건소	,063-430-8560
전북,진안군,진안군의료원	,063-430-7119
전남,강진군,강진의료원	,061-433-2167
전남,강진군,강진군보건소	,061-430-3592
전남,고흥군,고흥종합병원	,061-835-6000
전남,고흥군,고흥군보건소	,061-830-6688
전남,고흥군,녹동현대병원	,061-840-1200
전남,곡성군,곡성사랑병원	,061-360-6008
전남,곡성군,곡성군보건의료원	,061-360-7563
전남,광양시,광양사랑병원	,061-797-7000
전남,광양시,광양시보건소	,061-797-4015
전남,구례군,구례병원	,061-780-3300
전남,구례군,구례군보건의료원	,061-780-2673
전남,나주시,구례군보건의료원	,061-330-6114
전남,나주시,나주시보건소	,061-339-2164
전남,나주시,나주시보건소	,061-339-2164
전남,나주시,산포면 선별진료소	,061-339-2164
전남,담양군,담양사랑병원	,061-380-9000
전남,담양군,담양군보건소	,061-380-3972
전남,목포시,목포한국병원	,061-270-5800
전남,목포시,목포기독병원	,061-280-7500
전남,목포시,목포중앙병원	,061-280-3000
전남,목포시,목포시의료원	,061-260-6500
전남,목포시,세안종합병원	,061-260-6713
전남,목포시,전남중앙병원	,061-260-3555
전남,목포시,목포시보건소	,061-277-4000
전남,무안군,대송의료재단 무안병원	,061-450-3111
전남,무안군,무안군보건소	,061-450-5021
전남,보성군,보성아산병원	,061-850-3606
전남,보성군,보성군보건소	,061-850-5684
전남,보성군,벌교삼호병원	,061-859-5051
전남,순천시,순천시보건소	,061-749-6680
전남,순천시,순천 성가롤로병원	,061-720-2000
전남,순천시,순천의료원	,061-759-9440
전남,순천시,순천 한국병원	,061-740-5291
전남,순천시,순천병원	,061-720-7580
전남,신안군,신안군보건소	,061-240-8084
전남,신안군,신안군보건소	,061-262-3301
전남,여수시,여천전남병원	,061-690-6000
전남,여수시,여수시보건소	,061-659-4252
전남,여수시,여수전남병원	,061-640-7118
전남,여수시,여수한국병원	,061-689-9119
전남,여수시,여수제일병원	,061-689-8119
전남,영광군,영광종합병원	,061-350-8119
전남,영광군,영광기독병원	,061-350-3000
전남,영광군,영광군보건소	,061-350-5552
전남,영암군,영암병원	,061-470-7100
전남,영암군,영암군보건소	,061-470-6536
전남,완도군,완도대성병원	,061-553-1234
전남,완도군,완도군보건의료원	,061-550-6767
전남,장성군,장성병원	,061-390-9000
전남,장성군,장성군보건소	,061-390-8333
전남,장흥군,장흥종합병원	,061-862-8300
전남,장흥군,장흥군보건소	,061-860-6481
전남,진도군,진도한국병원	,061-542-7575
전남,진도군,진도군보건소	,061-540-6074
전남,함평군,함평성심병원	,061-324-0001
전남,함평군,함평군보건소	,061-320-2417
전남,해남군,해남종합병원	,061-536-4116
전남,해남군,해남우리종합병원	,061-530-7000
전남,해남군,해남군보건소	,061-531-3745
전남,화순군,화순고려병원	,061-370-3700
전남,화순군,화순전남대학교병원	,061-1899-0000
전남,화순군,화순성심병원	,061-370-9114
전남,화순군,화순군보건소	,061-379-5342
경북,경산시,세명병원	,053-819-8500
경북,경산시,경산중앙병원	,053-715-0119
경북,경산시,경산시 보건소	,053-810-6314
경북,경주시,경주시 보건소	,054-779-8573
경북,경주시,경주시 주민건강지원센터	,054-779-8668
경북,고령군,고령군보건소	,054-954-1300
경북,고령군,고령영생병원	,054-955-2661
경북,구미시,구미순천향병원	,054-468-9114
경북,구미시,구미차병원	,054-450-9700
경북,구미시,구미차병원	,054-453-7575
경북,구미시,구미시 구미보건소	,054-480-4032
경북,군위군 ,군위군보건소	,054-383-4000
경북,김천시,김천의료원	,054-432-8901
경북,김천시,김천제일병원	,054-420-9440
경북,김천시,김천시 보건소	,054-433-4000
경북,김천시,김천소년교도소 부속의원	,054-429-5575
경북,문경시,문경제일병원	,054-550-7700
경북,문경시,문경중앙병원	,054-555-2011
경북,문경시,문경시 보건소	,054-555-2033
경북,봉화군,봉화군 보건소	,054-673-4000
경북,봉화군,봉화해성병원	,054-674-0011
경북,상주시,상주성모병원	,054-532-5001
경북,상주시,상주시 보건소	,054-535-4000
경북,성주군,성주군보건소 	,054-933-2400
경북,안동시,안동시보건소	,"054-840-5999,5917"
경북,안동시,안동의료원	,054-850-6055
경북,안동시,안동병원	,054-840-1004
경북,안동시,안동성소병원 	,054-850-8114
경북,영덕군,영덕아산병원 	,054-730-0114
경북,영덕군,영덕군보건소	,054-730-6894
경북,영양군 ,영양군보건소	,054-680-5196
경북,영양군 ,영양병원	,054-682-0727
경북,영주시,영주시보건소	,054-631-4000
경북,영천시,영남대학교 영천병원 	,054-338-9000
경북,영천시,영천시 보건소	,054-339-7860
경북,예천군,예천군보건소	,054-650-8616
경북,예천군,예천권병원	,054-654-6611
경북,울릉군,울릉군보건의료원	,054-790-6871
경북,울진군 ,울진군의료원 	,054-785-7015
경북,의성군 ,의성군보건소	,054-830-6660
경북,의성군 ,공생병원	,054-834-3881
경북,청도군,청도군보건소(치매안심센터)	,"054-370-6566, 2673"
경북,청송군,청송군보건의료원	,054-870-7100
경북,청송군,경북북부제2교도소 부속의원	,054-870-2575
경북,칠곡군 ,칠곡군보건소	,054-973-4000
경북,칠곡군 ,칠곡군보건소	,054-971-1002
경북,포항시,포항시 북구보건소	,054-270-4114
경북,포항시,포항시 남구보건소	,054-270-4004
경북,포항시,포항세명 기독병원	,054-275-0005
경북,포항시,포항 성모병원	,054-272-0151
경북,포항시,포항의료원	,054-247-0551
경남,거제시 ,의료법인 거붕백병원	,055-733-0119
경남,거제시 ,의료법인 대우병원	,055-680-8119
경남,거제시 ,거제시 보건소	,055-639-6133
경남,거제시 ,맑은샘병원	,055-736-1004
경남,거창군 ,거창적십자병원	,055-944-3251
경남,거창군 ,거창군 보건소	,055-940-8337
경남,고성군 ,고성군 보건소	,055-670-4013
경남,김해시,김해중앙병원	,055-330-6007
경남,김해시,조은금강병원	,055-330-0300
경남,김해시,갑을장유병원	,055-310-6114
